,        Белгородская область,        Брянская область,        Владимирская область,        Воронежская область,        Ивановская область,        Калужская область,        Костромская область,        Курская область,        Липецкая область,        Московская область,        Орловская область,        Рязанская область,        Смоленская область,        Тамбовская область,        Тверская область,        Тульская область,        Ярославская область,        Город Москва столица Российской Федерации город федерального значения,        Республика Карелия,        Республика Коми,        Архангельская область,        Вологодская область,        Калининградская область,        Ленинградская область,        Мурманская область,        Новгородская область,        Псковская область,        Город Санкт-Петербург город федерального значения,        Республика Адыгея (Адыгея),        Республика Калмыкия,        Республика Крым,        Краснодарский край,        Астраханская область,        Волгоградская область,        Ростовская область,        Город федерального значения Севастополь,        Республика Дагестан,        Республика Ингушетия*,        Кабардино-Балкарская Республика,        Карачаево-Черкесская Республика,        Республика Северная Осетия-Алания,        Чеченская Республика*,        Ставропольский край,        Республика Башкортостан,        Республика Марий Эл,        Республика Мордовия,        Республика Татарстан (Татарстан),        Удмуртская Республика,        Чувашская Республика - Чувашия,        Пермский край,        Кировская область,        Нижегородская область,        Оренбургская область,        Пензенская область,        Самарская область,        Саратовская область,        Ульяновская область,        Курганская область,        Свердловская область,        Тюменская область,        Челябинская область,        Республика Алтай,        Республика Бурятия,        Республика Тыва,        Республика Хакасия,        Алтайский край,        Забайкальский край,        Красноярский край,        Иркутская область,        Кемеровская область,        Новосибирская область,        Омская область,        Томская область,        Республика Саха (Якутия),        Камчатский край,        Приморский край,        Хабаровский край,        Амурская область,        Магаданская область,        Сахалинская область,        Еврейская автономная область,        Чукотский автономный округ
2008-Jul,9,10,12,16,3,5,6,5,15,43,4,6,7,8,12,6,2,62,6,5,13,7,6,5,10,9,4,15,4,3,,37,14,30,31,,64,16,5,5,16,58,28,43,3,5,27,14,9,31,11,27,20,11,24,19,14,11,34,25,30,3,14,7,17,18,12,32,28,32,19,21,10,18,1,19,24,21,0,4,1,2
2008-Aug,12,4,11,11,6,4,6,8,6,39,5,9,6,3,5,10,11,59,3,9,9,8,8,15,2,2,4,15,4,3,,40,7,26,39,,45,6,6,3,1,50,38,50,9,6,19,11,4,21,13,24,16,16,21,11,13,7,27,29,31,3,7,9,6,20,10,21,22,19,24,14,13,8,3,14,11,13,1,5,5,0
2008-Sep,10,11,21,16,5,4,5,9,11,42,3,9,6,4,11,9,8,62,5,7,13,9,7,6,7,4,1,17,9,4,,33,12,33,35,,37,10,8,8,8,34,26,32,2,3,20,16,4,29,4,25,18,9,14,20,15,11,35,28,34,6,13,10,10,27,11,35,29,35,25,14,12,8,2,10,21,11,1,3,0,0
2008-Oct,10,10,11,15,6,6,8,14,6,58,0,8,8,6,9,11,6,57,2,7,8,10,4,15,8,4,10,19,6,5,,29,10,36,37,,42,9,2,6,12,52,33,43,9,1,31,16,6,31,9,18,15,9,21,17,9,5,43,34,39,3,10,9,8,21,13,31,29,28,22,13,16,15,4,14,18,12,3,6,3,0
2008-Nov,10,7,4,16,4,7,7,6,9,33,9,5,2,3,6,7,7,41,3,4,8,10,4,9,5,1,3,11,2,8,,43,10,30,36,,40,19,6,2,5,33,32,28,4,5,16,11,11,20,9,25,22,8,16,9,10,5,31,23,31,9,11,9,4,28,13,27,20,25,18,15,10,5,7,15,11,9,5,2,2,1
2008-Dec,10,6,13,15,6,9,10,12,4,47,10,13,8,5,10,13,6,61,3,10,12,3,2,11,7,5,3,26,3,5,,35,8,23,46,,66,18,5,5,4,62,27,35,5,5,25,15,9,33,11,22,15,9,21,19,8,11,31,31,26,6,11,7,7,16,16,33,21,31,26,17,16,14,1,25,27,19,0,5,5,1
2009-Jan,8,10,5,13,8,12,5,7,6,50,3,3,9,5,11,8,3,55,4,4,9,9,9,9,6,2,4,22,6,4,,35,6,29,27,,50,6,5,13,7,58,37,40,3,4,25,16,8,29,10,33,22,6,17,12,8,11,39,31,28,3,11,13,5,22,9,26,38,32,22,21,7,14,5,20,11,15,2,13,2,1
2009-Feb,11,8,8,15,7,5,4,6,9,37,4,12,8,7,13,7,10,82,0,5,10,7,7,7,4,3,2,14,3,5,,36,5,23,30,,75,5,9,1,4,55,27,26,7,2,20,13,8,19,11,25,13,5,18,9,10,9,25,25,23,3,14,9,4,20,6,32,31,16,18,17,13,11,2,19,13,11,2,3,4,1
2009-Mar,3,14,9,7,9,7,8,11,4,48,6,11,10,4,9,7,9,61,5,7,11,10,4,6,4,3,4,24,1,6,,23,6,24,38,,51,12,4,3,4,51,26,26,4,7,25,15,14,28,4,24,15,7,18,15,7,13,37,30,32,6,10,18,5,24,13,44,33,23,20,9,12,10,0,24,14,12,0,5,7,1
2009-Apr,6,5,7,11,8,4,8,12,5,50,3,6,5,5,9,11,8,68,6,4,7,10,9,7,8,6,11,14,1,2,,20,17,18,39,,54,8,4,5,8,48,18,33,4,4,22,11,8,18,12,36,17,9,16,21,13,10,28,31,26,0,7,11,8,25,8,29,33,24,26,10,9,10,5,14,13,11,4,2,1,1
2009-May,4,5,10,18,10,5,5,9,9,33,5,6,6,5,20,13,4,60,2,6,11,11,7,8,6,6,2,29,5,5,,23,10,20,29,,53,5,12,2,9,47,27,28,4,7,18,12,6,27,8,22,20,10,27,13,5,9,28,30,27,1,9,7,5,20,6,34,28,25,27,12,15,13,3,12,14,19,1,3,2,1
2009-Jun,7,11,8,15,11,6,8,8,8,53,10,4,7,9,11,13,10,54,3,2,8,13,4,16,12,1,10,23,4,1,,36,7,22,46,,66,4,4,5,14,63,28,29,6,7,21,11,8,36,9,34,15,8,26,12,10,9,29,19,25,3,12,17,4,21,12,33,28,27,31,16,11,12,6,17,14,8,2,3,3,0
2009-Jul,5,8,10,17,7,2,11,15,7,40,4,10,2,7,10,5,5,58,5,1,13,4,2,5,8,4,3,21,5,10,,45,8,24,39,,68,16,11,6,12,58,18,39,8,3,28,17,10,26,7,30,23,4,22,26,6,6,32,23,29,4,15,4,3,33,7,29,34,28,16,17,12,8,7,25,15,11,1,4,4,1
2009-Aug,7,9,13,19,9,8,7,9,5,42,4,11,7,9,8,5,8,45,5,5,11,5,8,6,3,7,5,22,1,1,,35,11,23,25,,55,3,4,4,4,57,18,25,5,3,22,15,5,19,11,14,6,11,16,19,13,11,20,18,37,5,11,10,10,20,11,33,32,36,21,14,9,14,3,25,14,7,1,2,1,0
2009-Sep,9,10,10,15,7,3,11,6,10,46,4,5,5,5,9,11,11,72,2,5,14,11,6,3,4,3,9,22,2,7,,33,8,25,39,,59,14,5,7,9,34,23,32,8,4,19,17,9,25,9,28,9,7,28,21,8,14,33,30,42,5,18,5,4,17,16,35,34,25,25,12,13,9,3,20,19,16,0,3,4,1
2009-Oct,3,7,7,23,4,7,5,6,4,54,5,9,11,0,9,6,6,62,2,9,13,11,7,2,1,9,4,14,2,10,,29,12,22,39,,78,12,8,5,5,29,28,29,4,6,31,18,11,30,10,30,25,5,26,14,6,10,24,30,23,4,12,9,8,23,10,27,27,25,20,20,13,18,5,23,9,7,1,5,2,0
2009-Nov,12,10,11,23,6,11,4,10,7,40,3,12,9,4,10,17,6,70,4,4,7,14,7,4,2,6,9,14,8,2,,25,12,22,32,,61,17,7,2,2,48,28,36,4,3,22,9,8,26,9,18,15,9,20,11,10,11,35,25,46,4,13,14,7,22,9,35,31,29,36,11,15,16,3,23,23,15,4,2,2,0
2009-Dec,15,11,11,10,7,7,7,8,8,55,3,12,8,3,16,9,6,79,1,7,6,12,8,10,7,4,3,25,2,3,,35,12,37,36,,94,8,2,6,9,56,42,47,7,3,24,6,12,23,5,21,27,6,28,13,9,7,32,34,39,4,17,16,4,30,9,40,36,29,26,22,14,12,6,28,18,13,3,2,4,2
2010-Jan,3,11,10,9,7,8,6,12,5,39,0,12,4,5,14,9,10,61,3,7,9,8,4,9,5,6,6,25,2,1,,23,7,27,27,,49,1,8,9,6,33,32,27,1,4,19,15,8,32,14,22,12,6,14,11,5,16,35,37,42,1,10,10,8,23,15,33,32,17,22,13,9,4,2,18,21,20,0,3,0,0
2010-Feb,12,6,9,16,4,5,6,9,3,41,7,11,6,3,9,8,8,60,4,5,9,10,5,10,5,3,3,27,2,4,,22,8,21,23,,65,16,7,10,2,52,16,34,6,3,23,10,7,24,8,17,17,9,20,17,10,10,28,33,26,2,9,7,7,23,9,33,37,22,32,12,7,7,4,18,17,12,1,4,2,4
2010-Mar,13,7,4,15,4,10,4,7,7,37,5,9,5,3,6,4,6,58,5,5,7,11,7,11,8,4,6,29,2,5,,26,9,30,29,,65,12,5,13,9,48,23,36,8,8,21,16,3,26,16,29,24,13,29,25,9,5,36,27,45,4,16,9,4,24,12,38,29,24,23,16,3,11,6,19,14,13,2,4,3,1
2010-Apr,5,15,10,10,5,5,5,7,4,53,3,7,2,4,10,6,5,59,5,7,8,8,2,3,4,2,3,13,2,4,,25,7,14,26,,56,14,3,7,5,33,18,32,6,7,24,6,11,17,8,27,15,3,14,7,11,7,20,31,30,4,4,11,6,23,8,31,36,28,27,11,3,17,6,21,10,14,2,3,2,1
2010-May,10,7,6,8,9,6,6,11,18,44,8,10,4,2,15,8,4,42,4,6,8,5,1,5,2,5,6,20,2,2,,18,15,22,26,,66,9,3,1,4,47,21,18,4,5,19,9,2,29,10,27,17,8,23,7,7,9,34,31,16,4,7,7,3,23,8,26,27,25,21,5,11,6,1,18,9,10,3,4,4,1
2010-Jun,9,10,9,15,5,8,2,7,5,45,5,10,3,5,8,6,13,72,1,4,10,12,5,11,4,4,11,27,3,3,,32,11,20,32,,74,17,8,2,8,34,22,32,7,2,25,11,6,29,6,24,19,9,24,17,8,6,35,28,27,7,14,9,6,31,20,37,24,26,29,13,10,6,1,21,17,11,2,4,2,0
2010-Jul,7,10,7,18,6,6,5,6,1,53,5,7,7,6,12,9,6,68,2,2,14,9,4,3,3,9,0,19,9,3,,38,8,23,36,,55,9,6,2,7,44,23,28,8,2,26,8,10,24,7,22,16,7,22,8,6,7,29,30,21,2,11,7,3,24,7,24,35,23,11,14,9,6,2,12,14,11,0,3,3,2
2010-Aug,4,8,17,22,8,7,3,13,4,39,4,11,6,2,10,11,7,60,3,2,7,13,1,8,3,4,3,17,4,5,,32,7,27,25,,57,18,8,5,9,49,30,45,2,5,24,20,13,30,7,34,9,14,24,14,5,5,26,27,31,4,10,10,6,23,12,17,30,29,20,17,9,11,5,17,13,7,3,3,4,0
2010-Sep,5,5,9,14,4,3,2,8,12,35,7,6,4,3,5,13,14,82,2,5,4,4,3,12,4,6,7,22,5,4,,35,9,26,32,,50,7,8,2,6,46,23,37,5,4,29,11,7,31,9,15,19,10,20,12,6,17,24,20,33,2,4,8,2,26,8,22,34,34,21,20,11,11,3,17,10,13,1,3,1,2
2010-Oct,7,7,12,10,8,8,3,4,6,47,2,2,8,2,10,9,7,70,2,3,6,9,9,6,3,3,3,19,6,2,,22,14,28,28,,53,17,6,6,2,56,27,34,2,3,24,11,6,19,7,23,19,12,15,9,11,9,26,20,35,3,10,8,11,20,12,27,38,26,11,15,3,7,1,24,16,12,1,3,1,2
2010-Nov,2,8,6,10,7,7,5,5,4,30,7,11,3,3,11,13,11,54,5,7,7,12,3,6,2,2,4,19,3,3,,28,9,28,31,,60,6,6,2,9,44,21,39,5,4,17,12,4,26,14,28,20,8,15,17,4,7,22,25,31,3,11,7,7,28,9,31,24,23,22,15,9,15,2,14,24,16,1,1,2,2
2010-Dec,8,13,9,20,8,7,6,11,10,47,9,4,6,4,10,10,9,64,1,7,16,9,4,7,5,5,6,21,2,5,,34,9,24,42,,96,14,8,6,10,56,26,42,4,3,19,15,12,18,14,21,17,9,15,18,5,7,35,26,27,5,12,9,6,24,13,31,21,22,24,14,6,12,3,23,15,12,1,2,1,1
2011-Jan,5,4,10,6,3,4,3,3,7,27,4,7,5,4,8,4,5,64,5,5,9,11,3,9,8,5,2,14,4,2,,31,8,23,19,,41,4,7,2,16,38,22,34,5,6,21,14,6,23,8,26,19,8,20,13,3,11,26,23,26,6,12,7,5,18,6,23,26,23,22,9,5,8,8,18,12,10,1,2,1,1
2011-Feb,8,6,6,13,10,7,3,5,4,47,4,8,2,6,10,7,8,71,6,5,10,8,8,8,6,5,6,15,1,4,,40,9,23,32,,47,13,5,3,6,46,24,26,6,3,19,9,6,28,8,12,10,13,13,12,13,10,22,34,33,1,11,15,5,17,9,19,17,18,18,12,15,8,0,16,11,9,2,4,3,2
2011-Mar,6,11,10,9,6,9,7,10,4,41,10,7,5,1,11,4,13,56,1,5,11,6,5,5,6,9,3,30,5,0,,32,9,22,37,,69,8,3,4,8,50,21,34,6,5,24,12,7,24,13,15,19,3,21,9,8,6,27,23,34,6,10,12,8,20,12,24,31,27,28,16,14,8,1,30,17,5,1,4,3,0
2011-Apr,3,11,7,17,11,3,5,17,8,34,5,5,5,3,9,12,7,62,2,4,7,7,6,6,8,6,2,16,5,2,,33,6,22,29,,68,21,9,4,5,51,22,28,4,3,27,10,4,19,5,17,20,5,23,14,10,11,35,19,29,2,5,10,4,21,10,23,24,20,16,7,7,6,5,21,13,7,0,1,3,2
2011-May,3,9,8,10,7,10,2,12,9,37,5,2,3,2,13,5,4,65,3,6,11,10,1,8,11,4,3,16,2,4,,21,8,26,20,,54,15,12,3,5,61,18,23,3,1,21,8,5,34,8,27,17,6,19,13,11,12,29,31,26,5,14,11,6,21,10,24,26,20,17,13,7,8,4,14,10,15,1,2,4,0
2011-Jun,14,12,8,9,10,6,3,10,4,44,9,4,5,3,11,9,5,64,5,3,6,8,3,6,7,6,4,9,3,1,,28,6,22,35,,76,9,5,8,13,52,22,29,1,5,18,13,1,20,8,24,19,4,23,16,7,8,24,30,23,3,11,6,3,21,8,19,24,21,24,14,4,9,4,22,18,12,1,2,4,0
2011-Jul,10,9,12,4,7,6,5,8,11,46,6,11,6,6,8,4,10,48,6,5,5,10,7,1,2,4,3,25,0,1,,27,8,27,33,,55,19,1,4,8,53,18,36,6,5,19,10,8,14,6,25,12,4,17,11,9,11,25,28,36,4,13,13,8,18,8,31,23,23,14,16,18,8,2,19,17,16,2,1,2,0
2011-Aug,4,19,7,17,7,9,3,6,7,35,7,8,9,1,9,6,7,61,4,7,13,11,4,5,7,2,3,37,1,4,,32,12,23,25,,62,7,8,4,5,60,27,36,2,3,26,9,5,23,10,25,19,6,23,20,7,6,34,28,30,2,10,4,10,18,13,35,32,26,22,10,8,7,3,22,19,7,1,2,4,0
2011-Sep,10,8,6,15,6,4,7,8,6,28,2,11,11,2,12,12,7,69,1,2,5,6,5,8,9,3,3,18,4,2,,43,13,17,25,,78,16,9,6,6,63,28,42,3,4,12,10,3,24,7,22,23,8,15,11,14,4,26,28,29,4,10,10,6,21,10,22,26,27,13,16,4,8,3,11,15,12,2,1,0,0
2011-Oct,8,12,7,15,8,6,9,3,9,35,2,8,5,5,7,3,4,65,4,5,6,7,3,7,7,5,3,20,2,1,,33,7,23,30,,80,13,10,6,6,52,27,32,4,2,16,11,3,21,8,27,17,9,20,7,11,13,31,25,26,8,14,11,4,22,6,27,37,25,29,13,9,9,4,12,28,10,2,1,4,3
2011-Nov,9,13,9,15,10,6,5,7,9,46,6,6,6,3,12,6,3,65,4,3,11,6,3,7,1,4,3,27,3,1,,27,7,18,26,,81,7,6,3,12,66,27,34,7,4,14,9,6,23,12,22,20,6,18,14,8,8,28,30,30,6,17,11,11,21,7,19,24,12,23,15,2,9,3,21,14,12,0,3,5,1
2011-Dec,4,12,4,19,5,5,6,8,11,53,4,10,11,5,12,7,8,77,3,2,9,11,2,7,6,2,8,17,1,3,,35,8,18,41,,100,17,3,2,9,63,25,28,4,0,30,10,2,23,9,13,23,10,27,15,5,11,27,41,31,4,12,7,4,19,9,36,40,23,26,17,3,15,3,21,13,7,0,2,2,0
2012-Jan,8,9,13,12,6,7,4,6,9,40,5,5,6,6,15,7,8,88,2,3,7,12,6,9,6,4,3,15,5,2,,36,11,29,25,,66,7,8,4,4,47,32,35,5,5,26,14,10,24,10,30,14,4,25,10,7,7,37,32,40,8,5,8,7,20,16,29,24,20,18,21,12,10,6,16,14,12,0,4,0,1
