,        Белгородская область,        Брянская область,        Владимирская область,        Воронежская область,        Ивановская область,        Калужская область,        Костромская область,        Курская область,        Липецкая область,        Московская область,        Орловская область,        Рязанская область,        Смоленская область,        Тамбовская область,        Тверская область,        Тульская область,        Ярославская область,        Город Москва столица Российской Федерации город федерального значения,        Республика Карелия,        Республика Коми,        Архангельская область,        Вологодская область,        Калининградская область,        Ленинградская область,        Мурманская область,        Новгородская область,        Псковская область,        Город Санкт-Петербург город федерального значения,        Республика Адыгея (Адыгея),        Республика Калмыкия,        Республика Крым,        Краснодарский край,        Астраханская область,        Волгоградская область,        Ростовская область,        Город федерального значения Севастополь,        Республика Дагестан,        Республика Ингушетия*,        Кабардино-Балкарская Республика,        Карачаево-Черкесская Республика,        Республика Северная Осетия-Алания,        Чеченская Республика*,        Ставропольский край,        Республика Башкортостан,        Республика Марий Эл,        Республика Мордовия,        Республика Татарстан (Татарстан),        Удмуртская Республика,        Чувашская Республика - Чувашия,        Пермский край,        Кировская область,        Нижегородская область,        Оренбургская область,        Пензенская область,        Самарская область,        Саратовская область,        Ульяновская область,        Курганская область,        Свердловская область,        Тюменская область,        Челябинская область,        Республика Алтай,        Республика Бурятия,        Республика Тыва,        Республика Хакасия,        Алтайский край,        Забайкальский край,        Красноярский край,        Иркутская область,        Кемеровская область,        Новосибирская область,        Омская область,        Томская область,        Республика Саха (Якутия),        Камчатский край,        Приморский край,        Хабаровский край,        Амурская область,        Магаданская область,        Сахалинская область,        Еврейская автономная область,        Чукотский автономный округ
2006-Nov,1262,937,1093,1714,858,775,563,876,957,4724,590,819,745,715,1065,1042,997,7992,566,847,1075,1103,780,1036,709,481,534,3353,396,275,,4570,1071,2152,3388,,3655,774,782,432,709,2643,2413,3765,598,595,3086,1417,943,2416,1096,2587,1922,966,2641,2029,911,813,3783,3516,3145,261,1137,471,482,2109,1288,2542,2447,2646,2264,1756,921,1136,324,1768,1335,868,135,446,175,50
2006-Dec,1129,975,1097,1501,729,693,529,802,874,4833,529,737,657,670,1033,980,969,7690,560,865,1053,1140,739,960,685,520,527,3261,360,304,,4301,954,2061,3248,,3469,681,730,364,649,1956,2175,3622,584,557,3085,1382,1019,2409,1116,2445,1874,955,2662,1902,967,785,3735,3436,3006,285,1134,446,527,2000,1232,2514,2532,2559,2176,1796,971,1134,307,1673,1264,792,145,455,186,44
2007-Jan,1253,1059,1133,1532,883,807,591,889,986,4923,649,889,777,799,1085,1055,1007,7550,559,930,1185,1018,827,1034,614,524,547,3089,407,367,,4577,1064,2210,3405,,3353,775,926,480,722,3135,2444,4060,693,614,3043,1458,1117,2601,1166,2617,2071,1091,2747,1983,987,871,4001,3776,3052,300,1178,518,570,2228,1181,2758,2732,2779,2240,1727,1016,1090,282,1764,1253,823,141,473,216,92
2007-Feb,1163,1018,1043,1552,756,730,555,872,921,4656,618,777,707,691,1013,938,913,7211,536,814,1120,1039,688,1036,631,461,477,3053,348,303,,4230,975,2042,3334,,3700,653,756,479,678,2921,2183,3548,562,584,2910,1519,1042,2352,1089,2497,1879,926,2609,1851,909,818,3563,3443,3110,260,1063,539,492,1955,1177,2428,2444,2531,2056,1616,853,1062,307,1706,1198,870,132,445,181,69
2007-Mar,1277,1028,1221,1563,884,760,606,930,988,5132,637,884,805,841,1225,1108,1014,8751,596,958,1258,1169,821,1117,774,608,588,3844,398,289,,4450,1014,2199,3408,,3336,645,775,467,728,2606,2383,4024,608,640,3264,1577,1194,2681,1183,2599,2062,1066,2829,2090,1025,878,3987,3835,3292,334,1264,576,597,2266,1337,2830,2767,2883,2432,1876,958,1215,288,1805,1370,951,149,537,213,51
2007-Apr,1133,975,1046,1509,750,724,546,872,840,4584,530,766,736,728,1039,975,955,7310,554,915,1109,1048,721,1081,686,530,512,3120,335,280,,3936,888,1964,2985,,3130,568,792,478,652,2294,2157,3730,625,568,2944,1421,1084,2458,1083,2346,1866,930,2422,1912,862,775,3787,3638,3004,286,1148,528,546,2077,1255,2554,2518,2479,2197,1685,910,1171,387,1660,1162,864,125,493,210,64
2007-May,1295,1094,1303,1759,906,910,650,1011,994,5380,675,964,855,844,1269,1127,1236,8735,660,978,1371,1195,875,1170,785,633,587,3781,367,339,,4576,1130,2328,3540,,3319,656,867,423,710,2440,2434,4511,762,684,3439,1681,1311,2931,1336,2919,2139,1114,2912,2322,1096,934,4620,4291,3686,371,1344,604,622,2500,1538,2931,2871,2914,2641,2012,1044,1254,295,1834,1318,943,145,505,172,78
2007-Jun,1217,1057,1224,1581,896,867,563,887,988,5387,625,864,770,783,1146,983,1058,8391,603,963,1261,1159,822,1134,780,602,506,3771,387,301,,4066,1012,2163,3237,,3202,589,845,486,675,2204,2242,3884,674,650,3397,1468,1164,2596,1182,2683,2046,1094,2661,1989,1021,918,4019,3924,3186,312,1228,580,608,2246,1324,2777,2793,2960,2537,1989,1090,1218,328,1704,1258,878,154,427,186,59
2007-Jul,1384,1244,1348,1764,951,902,707,1070,1009,5907,751,938,778,863,1248,1079,1204,8645,730,1016,1368,1269,930,1155,778,591,588,3687,496,385,,5130,1229,2509,3980,,3513,719,915,493,902,2845,2704,4400,748,665,3630,1830,1286,2894,1407,3003,2235,1143,3136,2273,1063,1038,4603,4194,3657,360,1375,640,677,2657,1488,3131,3166,3148,2720,2111,1227,1273,330,1964,1501,967,180,553,233,56
2007-Aug,1474,1240,1370,2105,947,966,691,1062,1189,5856,718,1120,860,936,1296,1257,1179,9418,674,1069,1410,1299,951,1258,792,683,672,4130,461,402,,5891,1351,2645,4212,,4052,722,1084,591,853,3132,2999,4676,798,705,3562,1710,1383,2997,1420,3083,2422,1296,3202,2569,1164,1046,4618,4276,3894,374,1439,714,617,2509,1539,3076,3227,3036,2804,2165,1095,1381,377,2101,1564,1046,163,552,223,72
2007-Sep,1322,1027,1210,1706,875,744,603,956,944,5027,629,917,755,797,1091,1102,1027,8120,542,919,1159,1170,852,1054,706,564,581,3411,463,378,,4872,1137,2397,3707,,4470,686,1025,525,856,2758,2556,4250,639,625,3480,1624,1227,2631,1165,2763,2149,1199,2766,2197,946,919,4091,3857,3449,350,1183,655,582,2341,1399,2732,2902,2764,2432,1936,978,1211,303,1920,1325,873,154,510,198,89
2007-Oct,1440,1264,1408,2130,1046,975,689,1148,1162,5993,783,993,836,954,1320,1288,1285,9321,677,1096,1393,1291,1010,1347,787,640,647,3869,532,417,,5709,1333,2679,4232,,4514,786,1189,539,998,2904,2985,5101,877,720,3887,1955,1500,3176,1453,3114,2525,1325,3258,2538,1139,1097,4867,4633,3915,357,1577,778,724,2816,1556,3340,3363,3195,2779,2375,1159,1510,332,2191,1586,978,172,585,208,54
2007-Nov,1420,1179,1182,1742,856,818,643,961,960,5278,644,925,758,838,1185,1084,1051,8384,552,904,1185,1265,811,1102,693,554,557,3563,484,359,,5081,1091,2466,3743,,4489,738,1077,523,861,2811,2798,4419,660,647,3504,1577,1232,2692,1199,2750,2204,1169,2784,2217,988,913,4089,4111,3362,375,1260,638,649,2248,1348,2745,2948,2773,2506,2107,999,1343,367,1851,1354,900,158,534,194,58
2007-Dec,1288,1098,1191,1626,867,846,613,1046,1004,5330,655,916,799,781,1200,1074,1106,8935,608,929,1269,1153,779,1109,728,576,569,3657,429,327,,5052,1146,2250,3676,,4012,747,957,501,853,2611,2644,4381,665,594,3612,1649,1276,2738,1259,2677,2090,1065,2664,2189,1004,899,4108,3855,3334,367,1296,676,641,2366,1375,2873,2929,2699,2531,2028,1056,1471,322,1804,1297,842,137,512,209,74
2008-Jan,1439,1164,1299,1802,879,879,603,1037,1010,5341,673,975,806,895,1209,1188,1165,8226,616,951,1295,1200,993,1180,759,559,621,3621,488,366,,5295,1214,2535,3820,,3917,791,1033,612,898,3078,2830,4646,709,666,3459,1759,1265,2992,1319,3034,2267,1215,2793,2308,1077,1050,4550,4260,3756,345,1344,687,654,2555,1522,3012,2965,3091,2765,2012,1115,1227,290,2012,1461,872,143,532,205,66
2008-Feb,1372,1074,1284,1718,868,790,600,906,984,5467,645,927,755,759,1224,1050,1038,8150,618,872,1202,1171,784,1108,686,545,566,3651,413,287,,4520,1143,2243,3616,,4036,798,959,512,772,2867,2487,4204,639,682,3338,1540,1197,2750,1209,2662,2051,1090,2895,2151,1075,967,4076,3816,3425,369,1326,580,675,2311,1394,2829,2930,2920,2551,1922,988,1195,280,1822,1302,856,150,504,206,61
2008-Mar,1180,1067,1128,1612,850,764,680,965,876,5531,642,827,734,809,1168,1031,1095,8172,618,917,1214,1194,800,1122,751,539,590,3681,380,346,,4419,1083,2113,3222,,3600,736,921,481,778,2974,2438,4342,678,645,3415,1646,1148,2926,1273,2790,2034,1112,2728,1979,967,942,4438,4085,3520,368,1455,397,690,2486,1375,3020,3170,2959,2815,2086,1122,1268,369,1732,1295,1013,148,486,195,70
2008-Apr,1397,1159,1353,1858,969,883,672,1087,1042,5724,666,958,823,826,1195,1181,1097,8884,674,1009,1279,1219,963,1150,809,586,587,3882,418,298,,4759,1125,2335,3472,,3975,589,958,508,767,3023,2507,4504,751,685,3644,1702,1226,2811,1395,2800,2098,1135,2946,2281,1095,953,4523,4089,3760,393,1370,999,615,2437,1448,3101,3217,2848,2678,2029,1055,1362,349,1957,1423,903,154,547,198,66
2008-May,1270,1125,1269,1610,889,809,579,967,1006,5412,691,914,794,729,1178,1125,1102,8959,574,916,1230,1149,768,1132,721,577,551,3907,405,156,,4633,1007,2274,3501,,3541,707,853,454,763,2518,2405,4251,670,617,3429,1605,1162,2663,1211,2695,2055,1055,2771,2143,1007,942,4164,4085,3570,387,1235,609,585,2320,1345,2850,3003,3036,2591,1965,1027,1211,292,1747,1339,849,142,498,194,49
2008-Jun,1301,1155,1161,1626,889,778,638,941,902,5512,682,970,737,843,1143,1073,1106,8169,637,907,1217,1239,839,1158,689,518,516,3715,385,564,,4419,1008,2327,3341,,3594,735,890,488,720,2679,2379,4159,657,616,3379,1530,1151,2927,1271,2753,2035,1007,2724,1986,1096,975,4215,4072,3477,315,1294,525,662,2406,1499,2938,2991,2863,2590,1858,1136,1232,296,1588,1265,898,135,466,207,61
2008-Jul,1581,1421,1521,2320,1005,1074,790,1235,1222,6460,807,1148,989,992,1407,1313,1335,10571,748,1109,1489,1389,1069,1343,864,649,684,4561,584,416,,6061,1376,2855,4553,,3990,735,1099,562,941,3325,3114,5190,786,792,4254,1918,1429,3291,1560,3462,2572,1348,3617,2743,1300,1134,5309,4895,4291,395,1497,721,692,2977,1695,3513,3473,3412,3115,2451,1156,1401,372,2222,1650,1145,176,518,264,77
2008-Aug,1514,1257,1361,2007,927,900,671,1018,1172,6192,681,990,908,856,1272,1168,1188,9412,674,986,1276,1321,895,1126,726,625,637,4169,495,367,,5820,1245,2630,4230,,4485,782,1054,528,876,3172,3087,4578,772,724,3757,1687,1267,2971,1236,2982,2424,1232,3216,2466,1179,1004,4532,4319,3839,365,1371,686,686,2614,1486,3096,3141,3001,2848,2148,1097,1211,386,1837,1513,942,144,552,216,59
2008-Sep,1464,1318,1362,1955,948,909,722,1066,1043,6374,737,956,894,864,1278,1290,1221,9353,664,1043,1349,1239,893,1280,820,604,598,3892,521,396,,5669,1243,2528,4143,,4577,739,1156,550,957,2859,3095,4441,760,787,4029,1834,1371,3147,1394,3245,2454,1326,3242,2404,1232,1046,4779,4428,3796,356,1445,699,710,2821,1625,3260,3297,3173,2857,2129,1270,1268,352,2045,1493,949,168,570,231,62
2008-Oct,1464,1331,1407,2186,1057,951,657,1179,1198,6564,779,1053,915,938,1299,1379,1195,10234,671,1096,1335,1344,966,1275,794,616,599,4469,565,404,,6110,1354,2808,4428,,4906,1013,1199,645,947,3604,3092,5515,782,724,4075,1884,1366,3239,1378,3238,2537,1319,3522,2605,1224,1011,4977,4663,4259,385,1474,759,690,2907,1547,3289,3448,3330,2942,2473,1163,1388,372,2041,1581,972,150,607,239,57
2008-Nov,1323,1077,1195,1725,860,843,544,942,1006,5510,610,945,754,783,1107,1148,986,8390,552,909,1084,1040,803,1087,711,516,501,3743,463,348,,5157,1146,2321,3579,,4218,775,916,501,773,2758,2661,4173,670,596,3509,1536,1112,2702,1262,2637,2172,1090,2783,2053,1016,862,4011,4051,3599,335,1196,607,603,2279,1291,2731,2814,2890,2471,1822,1009,1115,305,1758,1269,873,140,494,213,48
2008-Dec,1505,1171,1359,2003,997,939,711,1100,1143,6298,732,1046,841,896,1331,1202,1159,9259,659,1020,1301,1209,957,1338,806,578,619,4184,517,393,,5359,1256,2539,4005,,4475,815,1059,547,803,3078,2841,4789,754,686,4062,1905,1317,3049,1444,3283,2287,1245,3202,2373,1193,1051,4926,4541,3799,416,1396,667,702,2598,1582,3265,3138,3154,2949,2193,1234,1497,355,1988,1509,961,137,559,214,79
2009-Jan,1417,1170,1180,1772,905,850,635,967,976,5472,664,1009,794,824,1144,1155,1126,8528,597,938,1137,1162,749,1155,722,572,582,3764,471,360,,5556,1212,2409,3749,,3821,765,968,536,801,2945,2733,4439,704,710,3519,1605,1235,2747,1246,2738,2260,1193,2804,2203,1124,909,4428,3890,3554,378,1350,666,591,2466,1404,2939,2947,2985,2562,2105,991,1160,307,1851,1383,855,142,535,208,78
2009-Feb,1317,1132,1204,1683,872,825,593,991,963,5662,674,916,764,801,1090,1159,1128,8471,590,898,1183,1139,879,1125,693,503,550,3782,444,304,,4808,1123,2305,3510,,3889,735,916,457,737,2716,2440,4258,696,657,3424,1691,1234,2668,1214,2780,2149,1076,2763,2048,1043,969,4190,4225,3503,310,1303,562,615,2263,1372,2801,2842,2889,2616,1901,1055,1145,306,1716,1361,854,150,485,197,41
2009-Mar,1390,1220,1399,1993,961,886,742,1079,1135,6385,735,1001,957,838,1371,1277,1260,9739,698,1117,1337,1438,956,1312,746,632,633,4213,418,299,,5232,1211,2586,3782,,4064,875,998,529,843,2930,2653,4674,797,737,3906,1831,1331,3146,1419,3210,2249,1186,3076,2331,1213,1018,5023,4650,4033,384,1494,721,731,2684,1565,3423,3436,3258,3087,2189,1252,1370,358,2026,1487,872,199,532,200,59
2009-Apr,1327,1194,1208,1788,892,841,710,1000,1022,6008,710,957,933,842,1306,1272,1116,9555,649,1002,1419,1304,886,1261,737,622,613,4567,445,343,,4554,1059,2360,3609,,3932,660,965,501,770,2908,2633,4386,731,637,3927,1800,1304,2926,1316,2964,2141,1103,2870,2162,1088,999,4631,4374,3802,361,1371,675,639,2602,1359,3188,3217,3018,2764,2051,1147,1273,277,1936,1434,952,169,521,180,53
2009-May,1306,1103,1199,1893,919,808,626,890,953,5743,608,870,770,791,1246,1060,1173,9189,626,932,1156,1164,841,1185,778,616,578,4311,401,395,,4916,1069,2204,3446,,3587,700,859,483,701,2566,2488,4231,669,607,3504,1581,1260,2732,1226,2736,2201,1067,2796,2121,1017,890,4263,4085,3431,324,1280,650,640,2387,1447,2956,3069,2889,2555,1968,1054,1243,370,1773,1296,883,141,450,207,70
2009-Jun,1416,1244,1312,1960,954,896,713,1100,1055,6499,645,891,970,867,1286,1250,1217,9739,727,1106,1379,1335,958,1353,832,608,596,4285,472,354,,5050,1175,2528,3657,,3933,643,919,460,790,2913,2662,4744,740,697,3950,1844,1334,3220,1403,3121,2319,1171,3027,2240,1246,1041,5066,4677,3852,379,1454,683,748,2671,1572,3513,3268,3366,2998,2196,1199,1330,368,1859,1387,983,163,526,197,47
2009-Jul,1601,1276,1459,2295,1114,1025,745,1159,1190,6841,783,1169,891,959,1371,1407,1324,10797,682,1019,1420,1308,988,1326,787,660,696,5036,521,430,,5859,1391,2750,4530,,4373,828,1232,580,1003,3399,3067,4947,806,706,4229,1987,1463,3263,1442,3355,2736,1375,3407,2713,1299,1132,5073,4654,4259,391,1533,690,741,2971,1569,3491,3579,3583,3133,2489,1269,1362,383,2157,1676,1111,196,553,216,79
2009-Aug,1436,1263,1352,1916,961,883,738,1065,1115,6561,708,987,918,867,1221,1241,1259,9676,690,937,1266,1275,970,1383,722,660,544,4364,476,353,,5809,1271,2553,4054,,4481,853,1164,471,936,3355,2787,4653,815,645,3828,1823,1411,3193,1329,3287,2508,1171,3179,2342,1100,1020,5002,4453,3872,348,1380,782,711,2701,1591,3209,3190,3234,3022,2129,1163,1378,355,1942,1507,962,181,513,213,56
2009-Sep,1524,1304,1409,2204,1018,974,733,1151,1119,6497,725,1063,923,894,1329,1350,1229,10496,699,1093,1319,1298,942,1306,788,602,605,4446,480,404,,5982,1304,2614,4296,,4404,734,1056,574,929,3017,3047,4938,790,695,4094,1837,1401,3109,1352,3289,2586,1370,3350,2458,1269,989,5081,4603,4080,363,1426,724,700,2771,1452,3412,3301,3320,3018,2305,1213,1439,346,2174,1550,1067,170,518,210,66
2009-Oct,1454,1224,1356,2100,951,930,674,1137,1096,6346,768,1027,840,890,1298,1259,1194,10495,662,956,1264,1374,935,1151,783,592,668,4656,491,390,,5623,1343,2506,4212,,4911,974,1156,549,954,3474,2938,4893,794,713,4171,1745,1409,3101,1351,2981,2374,1239,3138,2517,1121,986,4624,4655,3872,421,1444,667,646,2535,1575,3157,3277,3214,3008,2247,1146,1427,341,2164,1519,1010,162,551,204,49
2009-Nov,1200,1100,1162,1794,893,728,649,933,979,5803,664,820,824,763,1142,1104,1143,8739,586,879,1232,1119,822,1212,643,505,498,4078,435,312,,4997,932,2354,3451,,4288,855,913,490,771,2929,2595,4219,649,630,3569,1679,1302,2931,1264,2800,2216,1030,2698,2026,960,951,4182,3917,3458,300,1323,706,600,2420,1429,2842,2784,2783,2603,1852,1107,1358,326,1743,1440,856,123,506,211,44
2009-Dec,1523,1176,1280,2163,890,907,649,1082,1075,6321,763,940,913,840,1304,1239,1174,10362,669,1027,1349,1265,875,1299,832,623,629,4491,490,360,,5366,1260,2463,4042,,4911,950,1043,582,796,3371,2795,5338,759,719,4434,1732,1415,3063,1379,2983,2455,1229,3267,2378,1204,998,4963,4740,4017,340,1461,734,681,2567,1508,3307,3250,3188,2949,2276,1136,1427,342,2050,1569,979,178,535,214,57
2010-Jan,1287,1026,1147,1717,853,789,579,879,936,5519,623,939,772,824,1073,1088,1009,9166,587,890,1145,1087,789,1098,717,502,532,3963,429,337,,5117,1073,2229,3396,,3703,755,883,514,815,2804,2569,4178,617,606,3638,1575,1150,2632,1141,2615,2187,1127,2681,1943,1023,907,4121,4129,3470,338,1229,575,648,2188,1347,2786,2753,2768,2417,1880,1001,1230,304,1913,1380,900,119,457,179,59
2010-Feb,1295,1076,1228,1756,844,825,603,963,1011,5828,686,922,808,795,1116,1134,1051,9019,594,861,1129,1099,812,1177,730,555,519,4119,441,372,,4767,1155,2290,3468,,3908,879,978,458,814,2791,2580,4213,661,603,3620,1662,1228,2796,1239,2710,2214,1072,2793,2022,1015,910,4363,4057,3419,318,1297,590,651,2275,1413,2918,2785,2714,2616,1980,1015,1222,249,1864,1370,882,119,473,161,50
2010-Mar,1435,1253,1387,2179,999,1012,752,1176,1156,7056,808,1058,905,905,1386,1337,1299,10893,707,1138,1383,1391,988,1470,845,597,629,4794,482,397,,5173,1195,2556,3863,,4266,958,1045,534,827,3319,2759,5207,918,767,4189,1921,1463,3486,1517,3441,2505,1298,3430,2449,1351,1045,5559,5019,4314,396,1542,829,742,2868,1517,3540,3475,3324,3259,2351,1262,1440,345,2118,1590,1105,196,558,237,65
2010-Apr,1304,1160,1222,1800,909,918,654,1050,1008,6161,723,976,843,810,1175,1214,1145,10094,654,981,1256,1263,868,1229,774,597,571,4663,397,301,,4771,1082,2315,3600,,3914,895,976,478,860,2610,2569,4692,696,651,3972,1816,1272,3022,1253,2804,2383,1107,2835,2180,1061,1027,4568,4459,3862,352,1285,713,659,2541,1636,3136,3130,3062,2805,2158,1039,1291,302,1860,1368,964,142,499,195,57
2010-May,1313,1104,1168,1738,881,913,656,924,927,6266,652,843,814,807,1136,1145,1190,9419,609,970,1234,1191,809,1209,698,570,605,4370,412,347,,4827,1092,2159,3538,,3874,839,907,409,763,2912,2441,4480,682,553,3934,1815,1320,3010,1246,2895,2184,1014,2876,1967,980,980,4622,4299,3738,338,1324,674,622,2391,1382,3053,2880,2740,2911,1992,1127,1322,320,1715,1249,841,138,485,198,65
2010-Jun,1552,1179,1341,2266,1028,993,711,1107,1171,6940,738,1049,871,896,1345,1281,1304,11216,684,1070,1363,1345,977,1284,808,642,628,4917,478,400,,5584,1253,2677,4115,,4356,925,1087,550,890,2657,2998,5159,756,739,4241,1892,1353,3259,1361,3182,2466,1299,3331,2417,1275,972,5161,4757,4125,361,1470,697,691,2891,1473,3409,3171,3319,3094,2417,1209,1337,382,2116,1482,976,160,470,196,71
2010-Jul,1445,1178,1487,2108,960,932,731,1103,1126,6755,778,1036,949,948,1354,1330,1296,11436,676,931,1395,1447,1050,1344,772,661,593,5184,511,357,,5819,1281,2628,4348,,4153,969,1192,561,989,3436,2903,4939,776,677,4327,1817,1391,3140,1369,3226,2576,1206,3236,2507,1168,1076,4868,4784,4006,374,1402,666,660,2765,1505,3276,3318,3338,3051,2389,1177,1377,312,1918,1416,1066,146,526,225,59
2010-Aug,1493,1219,1389,2132,1005,992,773,1195,1161,6902,774,1049,913,901,1384,1340,1361,10266,713,1042,1398,1300,881,1318,770,612,620,4746,534,402,,5801,1312,2756,4269,,4934,1124,1114,554,823,3584,2918,4890,806,704,4053,1883,1493,3443,1467,3318,2466,1292,3474,2490,1212,1124,5240,4857,4202,336,1476,676,735,2712,1544,3474,3166,3190,3295,2294,1283,1398,340,2022,1523,1009,172,517,200,60
2010-Sep,1434,1185,1283,2064,892,986,627,1007,1110,6004,740,1068,845,877,1190,1150,1131,10095,659,965,1288,1237,931,1252,767,565,623,4767,477,377,,5315,1245,2474,4003,,4591,989,1112,559,916,2934,2868,4937,744,604,4386,1867,1368,3201,1321,2947,2455,1113,3059,2353,1168,956,4812,4614,4073,392,1369,736,644,2645,1482,3384,3091,3098,2953,2261,1125,1398,312,2019,1547,943,156,563,232,69
