,ВВП,ВДС,A,B,C,D,E,F,G,H,I,J,K,L,M,O,Налоги на продукты ,Субсидии на продукты,ВВП,ВДС,A,B,C,D,E,F,G,H,I,J,K,L,M,O,Налоги на продукты ,Субсидии на продукты
2007-10-01,9797,8326.4,338.6,881,1457.9,247.9,566.5,1706.9,83.4,728.9,359.8,1116.8,382.2,204.9,251.4,0,1534.6,-64,,,,,,,,,,,,,,,,,,
2008-01-01,8877.7,7591.2,160.3,804.8,1326.6,303.6,348.7,1576.1,72.8,724.6,361.4,956.1,450.1,230.2,275.8,0,1335.8,-49.3,,,,,,,,,,,,,,,,,,
2008-04-01,10238.3,8720.1,259.9,911.7,1614.6,225.4,532.3,1782.3,86.9,830.3,378.2,1099.3,467.6,234.8,296.9,0,1575.9,-57.7,,,,,,,,,,,,,,,,,,
2008-07-01,11542,9844.5,735.3,975.5,1791,212.8,641.2,1922.1,97.8,893.5,391.2,1146.1,477.8,249.6,310.6,0,1762,-64.5,,,,,,,,,,,,,,,,,,
2008-10-01,10618.9,9027,393.9,592.6,1431.7,292.2,703.1,1857.2,100.5,809.9,407.1,1379.4,488.9,256,314.5,0,1650.1,-58.2,,,,,,,,,,,,,,,,,,
2009-01-01,8334.6,7376.9,167.2,623.8,999.9,403.9,347.7,1420,75.8,713.9,434.3,1064.2,536.2,273.5,316.6,0,1006,-48.2,,,,,,,,,,,,,,,,,,
2009-04-01,9244.8,8148.3,259.7,738.1,1255.7,298.7,496.7,1436.9,84.7,813,423.2,1174.8,550.5,276.6,339.6,0,1153.2,-56.7,,,,,,,,,,,,,,,,,,
2009-07-01,10411.3,8998.1,749.9,750.6,1373,273.5,581.2,1484.7,90.6,879.2,409.1,1206.7,557.3,290.8,351.6,0,1475.8,-62.6,,,,,,,,,,,,,,,,,,
2009-10-01,10816.4,9308,408.4,773,1376.8,412.6,675.9,1718.9,92.5,843.5,440.6,1360.8,559.2,293.4,352.6,0,1567.1,-58.8,,,,,,,,,,,,,,,,,,
2010-01-01,9995.8,8659.5,157.5,905.9,1144.2,443.6,376.5,1851,85.6,800.3,438.5,1224,591.4,295.6,345.3,0,1377.3,-41.1,,,,,,,,,,,,,,,,,,
2010-04-01,10977,9492.3,256.4,925,1446.3,324.6,612.2,1862.6,98.9,912.9,434.3,1354.6,600.3,296,368.1,0,1533,-48.3,,,,,,,,,,,,,,,,,,
2010-07-01,12086.5,10452.7,650.9,986.5,1549.3,313,750,1964.6,106,974.3,438.4,1414.6,609.4,312.8,383,0,1686.7,-53,,,,,,,,,,,,,,,,,,
2010-10-01,13249.3,11435.5,483.8,1025.3,1794.8,445.8,849,2342.8,112.9,974.9,462.2,1608.9,622.4,321.6,390.8,0,1865.5,-51.7,,,,,,,,,,,,,,,,,,
2011-01-01,11954.2,10262.2,223.5,1183.4,1572,530.1,504.4,2003.8,97.7,911.8,453.9,1376.1,658.1,338,409.2,0,1738.1,-46.1,13028.8,11333.6,223.6,1158.7,1479.5,520,571.3,1998.9,98.3,880.7,450.7,2220.8,888.1,347.2,412.4,83.5,1741.6,-46.4
2011-04-01,13376.4,11345.6,353.4,1252.9,1845.7,396.3,790.9,2143.1,114,1021.7,468.6,1515,668.6,338.3,437.2,0,2082.1,-51.4,14481.1,12444,343.5,1227.2,1733.6,381.4,891.9,2135.9,114.2,983.4,465.9,2397.6,904.9,341.7,438.1,84.7,2088.4,-51.3
2011-07-01,14732.9,12580.3,898,1275.8,1923,365.4,1023.4,2294.1,124.8,1100.8,501.3,1599,670.2,352.3,452.3,0,2208.5,-55.9,15805.6,13652.4,877.8,1226.3,1808,353.8,1151.6,2284.4,124.7,1051.5,498.6,2471.6,912.8,354.6,451.8,84.8,2208.8,-55.6
2011-10-01,15903.7,13530.7,609.9,1398.7,2092.8,506,1198.7,2674.3,130.5,1080.3,532.3,1812,676.2,359.2,459.8,0,2434.6,-61.6,16967,14654.2,596.1,1337.7,1957.6,491,1348.1,2659.6,130.2,1036.1,527.8,2741,926.1,357.7,459.5,85.5,2374.4,-61.6
2012-01-01,,,,,,,,,,,,,,,,,,,15183,13090.6,257.8,1387.7,1716.1,523.6,674.4,2288.2,112.7,1002.6,564.1,2554.2,1098.5,371.7,447.5,91.6,2146.1,-53.7
2012-04-01,,,,,,,,,,,,,,,,,,,16472.2,14100.3,389.5,1320.1,1966,368.6,1054.6,2352.7,127.6,1126.1,577.3,2745.5,1123.7,374.6,481.1,92.9,2429.9,-58
2012-07-01,,,,,,,,,,,,,,,,,,,17733.5,15464.9,912.1,1392.9,2083.9,378.5,1310.7,2506.3,141.7,1198.1,613,2775.1,1153,395.5,509,95,2332,-63.4
2012-10-01,,,,,,,,,,,,,,,,,,,18775.1,16340.4,621.9,1467.3,2276.6,536.6,1484.6,2757.5,149.6,1156.4,654.1,3035.3,1180,401.8,522.4,96.3,2503.8,-69.1
2013-01-01,,,,,,,,,,,,,,,,,,,16375.3,14177,263.2,1389,1773.3,560.9,701.9,2356,117.2,1168.2,668.1,2865.5,1269.6,416,528.8,99.3,2252,-53.7
2013-04-01,,,,,,,,,,,,,,,,,,,17538.8,15214.1,412,1432.4,1981.1,412.7,1038,2454,133.9,1271.2,687.5,3015.6,1289.8,420,565.1,100.8,2383.1,-58.4
2013-07-01,,,,,,,,,,,,,,,,,,,19058.1,16727.1,920.5,1551.2,2175,407.2,1278.6,2592.4,148.6,1375.2,733,3098.4,1309.9,437.9,596.7,102.3,2395,-64
2013-10-01,,,,,,,,,,,,,,,,,,,20161.7,17751.2,715.7,1546.9,2350,573.1,1456.3,2939.6,155.4,1326.9,754.6,3441.6,1332,443.3,612.4,103.7,2480.8,-70.3
2014-01-01,,,,,,,,,,,,,,,,,,,17390.2,15020.8,302.4,1440.9,1877.6,564,718.9,2475.1,128.3,1235.5,784.9,3019,1330.1,440.6,598.2,105.2,2424.9,-55.4
2014-04-01,,,,,,,,,,,,,,,,,,,19128,16476.7,485.9,1595.3,2171.8,431.6,1077.5,2678.6,147.2,1339.9,767.7,3204.1,1368.8,449.9,650.3,108,2713.1,-61.9
2014-07-01,,,,,,,,,,,,,,,,,,,20758.6,18191.6,1195.8,1685.3,2395.6,410.1,1343.9,2823.3,162.1,1413.9,781.8,3321.9,1393.7,469.3,685.3,109.7,2635.1,-68.1
2014-10-01,,,,,,,,,,,,,,,,,,,21922.9,19218.5,817.9,1520.1,2739.5,586.9,1541.3,3194.6,165.8,1404.7,813.7,3665.9,1440.5,483.1,731.5,113.1,2777.7,-73.3
2015-01-01,,,,,,,,,,,,,,,,,,,18579.1,16319.6,408.8,1526.2,2191.6,618.8,765.6,2765.5,146.3,1380.3,555.4,3359.5,1401,458.2,625.5,117.1,2317.9,-58.4
2015-04-01,,,,,,,,,,,,,,,,,,,19865.7,17937.7,623.2,1908.6,2539.4,473.3,1067.6,2840,161.9,1480,616.7,3526.7,1435.1,466.1,679.2,119.8,1993.1,-65.1
2015-07-01,,,,,,,,,,,,,,,,,,,22017.6,19825.8,1421.6,1961.5,2729.9,474.9,1289.2,3055.3,179.3,1573.3,710.3,3643.7,1465.7,485.7,713.6,121.6,2263.4,-71.6
2015-10-01,,,,,,,,,,,,,,,,,,,22924.8,20837.8,988.3,1897.4,3086,677,1621.6,3192.1,178.4,1599.6,704.1,3993.6,1517.3,494.5,763.8,124,2164.1,-77.1
2016-01-01,,,,,,,,,,,,,,,,,,,19110.1,17036.7,452.5,1576.6,2095.6,705.3,759.3,2583.7,148.4,1611.1,816.1,3485.6,1541.1,490.6,646.6,124.4,2132.4,-59.1
2016-04-01,,,,,,,,,,,,,,,,,,,20624.9,18664.8,674.8,1940.1,2465.5,550.8,1069.2,2723.3,171.3,1764.6,804.5,3617.9,1563.5,494.2,699,126.1,2026.3,-66.2
2016-07-01,,,,,,,,,,,,,,,,,,,22515.8,20303.7,1467.4,1862.4,2664.7,560.2,1353.8,2882.8,191.6,1865,815.5,3694.8,1581,513.9,723.5,127.3,2283.8,-71.7
2016-10-01,,,,,,,,,,,,,,,,,,,23897.8,21602.4,1009.2,1987.5,3089.2,799.4,1746.4,3109.7,188.2,1941,850.9,3882.7,1594.7,517.1,758.1,128.5,2374.7,-79.3
2017-01-01,,,,,,,,,,,,,,,,,,,20549.8,18482.1,489.3,2141.8,2235.7,745.2,792.9,2720.4,154.7,1711.8,842.5,3659.2,1612.1,525.3,721.9,129.2,2130.2,-62.5
2017-04-01,,,,,,,,,,,,,,,,,,,22035.1,19925.2,707.6,2092.7,2653.8,613.9,1143.5,2878.3,178.6,1942,860.2,3807.8,1634.3,527.7,755.4,129.2,2178.1,-68.3
2017-07-01,,,,,,,,,,,,,,,,,,,23948.8,21634.4,1517.1,2046.5,2819.3,602.4,1481.1,3058.8,204,2038.9,892.3,3885.6,1645,545.1,769.3,129.2,2388.3,-73.9
2017-10-01,,,,,,,,,,,,,,,,,,,25503.4,23017.3,980.7,2325.4,3260.3,830.5,1869.1,3326.9,199.2,2090.9,912.8,4098.1,1640.6,545.8,807.9,129.2,2567.9,-81.8
2018-01-01,,,,,,,,,,,,,,,,,,,22239.4,19907.5,469.7,2400.5,2435,796.8,799,2797.2,163.1,1827.5,909.3,3898.3,1778.1,605.2,897.3,130.4,2395.8,-63.9
2018-04-01,,,,,,,,,,,,,,,,,,,24846.6,22203.9,685.1,2942.5,3080.2,642.4,1222.6,3049.3,197.9,2108.5,951.3,3917.9,1780.4,591.9,901.9,131.9,2712.6,-69.9
2018-07-01,,,,,,,,,,,,,,,,,,,27007.2,24052.4,1471.6,3052.7,3143.8,629.7,1533.7,3395.1,223.4,2188.1,950.6,4046,1738.6,621.8,925.7,131.8,3030.9,-76.1
